Base,Gender,Margin_2024,Margin_2025,Sales_2024,Sales_2025,Units_2024,Units_2025,Layer,Bucket,Sales_Wholesale_2025,Sales_DTC_2025,Sells_in_WS,Sells_in_DTC,Growth%,GM%_2025,Tier,SpecialAcct_Sales_2025,SpecialAcctExposure%,cross_channel,BlockedBy,WS_share,DistanceTo2M,ChannelLever,Wave
Rosson Mid Hood,Men,837527.261545242,937654.0409214692,1601321.56777041,1740147.4267454,3127.0,3013.0,Mid layer,Continuing,1375773.8830009,364373.5437445,True,True,0.0866945539041752,0.5388359782108604,Workhorse,223187.47,0.1136777380007738,True,Scale<2M,0.7906076587855615,259852.57325459996,Wholesale distribution,Wave 1 (<500K to go)
L.I.M Fuse Pant,Women,910155.3581864224,837130.133883301,1571256.7831404814,1677696.766667246,3286.0,3826.0,Legwear,Continuing,963773.47083,708212.965837246,True,True,0.0677419405082995,0.4989758283591764,Workhorse,346086.58,0.171009698528221,True,Scale<2M,0.5744622568144668,322303.2333327541,Both channels,Wave 1 (<500K to go)
Mossa Pile Jacket,Men,806672.3791778431,917966.46891753,1479383.1964066145,1602779.64433193,2271.0,2404.0,Mid layer,Continuing,937147.925679,665631.7186529301,True,True,0.0834107405201318,0.572734044984803,Workhorse,365144.19,0.1855479280395824,True,Scale<2M,0.584701664382331,397220.35566807,Both channels,Wave 1 (<500K to go)
Rosson Mid Hood,Women,812243.0067679817,838020.20435098,1452101.1394569976,1534859.44617768,2794.0,2691.0,Mid layer,Continuing,1251538.077938,282439.04823968,True,True,0.0569921092077851,0.5459914954675062,Workhorse,165477.01,0.0973201564894919,True,Scale<2M,0.8154089164677285,465140.55382232,Wholesale distribution,Wave 1 (<500K to go)
Lite Standard Zip-Off Pant,Men,509738.6507363577,561524.7121142799,907740.513735558,1004462.11211428,1562.0,1745.0,Legwear,Continuing,763172.893621,238808.73849328,True,True,0.1065520343260768,0.5590302564347931,Workhorse,200484.82,0.1663847715253451,True,Scale<2M,0.7597826582175476,995537.88788572,Wholesale distribution,Wave 2 (500K-1.3M)
Lite Standard Zip-Off Pant,Women,462973.3192929496,538446.4811396,850365.14740807,957247.5211396,1536.0,1710.0,Legwear,Continuing,817423.97889,137203.9422496,True,True,0.1256899745448287,0.5624945160459452,Workhorse,61486.380000000005,0.0603556826087937,True,Scale<2M,0.8539316747635549,1042752.4788604,Wholesale distribution,Wave 2 (500K-1.3M)
L.I.M Shield Hood,Men,373541.5216252184,474275.45284577296,783155.1701438767,920927.65653025,1361.0,1435.0,Shell,Continuing,450084.2,470843.45653025,True,True,0.1759197814668867,0.5149975130866257,Workhorse,90081.95,0.0891009832331446,True,Scale<2M,0.4887291600034774,1079072.34346975,Both channels,Wave 2 (500K-1.3M)
Gran 3-in-1 Proof Jacket,Men,298674.23,427642.4898558001,557335.23,915157.4440064,503.0,904.0,Shell,Continuing,714704.8,200452.6440064,True,True,0.642023318723993,0.4672884350737024,Workhorse,275420.09,0.2313331825380467,True,Scale<2M,0.7809637616792439,1084842.5559936,Wholesale distribution,Wave 2 (500K-1.3M)
Mora Mid,Men,380454.0327961807,473008.43723686994,713773.1493704058,872457.0073046099,1182.0,1459.0,Mid layer,Continuing,339634.59,532822.4173046099,True,True,0.2223169337123054,0.5421567289581338,Workhorse,308891.08,0.2614733822482185,True,Scale<2M,0.3892851878733549,1127542.9926953902,DTC content/marketing,Wave 2 (500K-1.3M)
L.I.M Proof Pant,Men,334800.5421481511,408286.15832582,654437.374728151,853656.4907534199,1052.0,1465.0,Shell,Continuing,386098.02,467558.47075342,True,True,0.3044128036055753,0.4782792173998172,Workhorse,75912.36,0.0816640531128734,True,Scale<2M,0.452287335927403,1146343.50924658,Both channels,Wave 2 (500K-1.3M)
Jarve Multi 22,Unisex,346411.17989633704,436879.30243984,606651.0901617238,846742.55796496,915.0,1420.0,Daypacks,Continuing,728175.64,118566.91796496,True,True,0.3957653282041107,0.5159529284672131,Workhorse,146841.51,0.1477897187912422,True,Scale<2M,0.8599728844975966,1153257.44203504,Wholesale distribution,Wave 2 (500K-1.3M)
Mimic Alert Vest,Men,390855.2779751014,525848.15582894,612751.2972342712,806743.38336054,868.0,1044.0,Insulation,Continuing,587744.4139876,218998.96937294,True,True,0.3165918815706734,0.6518158892589693,Workhorse,69694.2,0.0795198669285384,True,Scale<2M,0.7285394911320052,1193256.61663946,Wholesale distribution,Wave 2 (500K-1.3M)
